Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
Pompey Centre District No. 10 Schoolhouse,Onondaga,08/06/1998,98NR01361,-75.949,42.9237051603,"(42.92370516030, -75.94900000000)"
Oran District No. 22 Schoolhouse,Onondaga,08/06/1998,98NR01362,-75.9344,42.9785270806,"(42.97852708060, -75.93440000000)"
District School No. 3,Rensselaer,08/28/1998,98NR01369,-73.7067,42.5027805821,"(42.50278058210, -73.70670000000)"
"Oliver, Thomas, House",Niagara,11/19/1998,98NR01370,-78.6875,43.1657721526,"(43.16577215260, -78.68750000000)"
"Bowen, Benjamin, House",Herkimer,11/05/1998,98NR01382,-75.0152,43.1879128817,"(43.18791288170, -75.01520000000)"
D&H Railroad Bridges,Essex,11/12/1999,98NR01353,-73.436,44.5571335415,"(44.55713354150, -73.43600000000)"
Carpenters Flats Bridge,Essex,11/12/1999,98NR01354,-73.4487,44.5588528575,"(44.55885285750, -73.44870000000)"
AuSable Chasm Bridge,Clinton,11/12/1999,98NR01351,-73.463,44.5249108094,"(44.52491080940, -73.46300000000)"
Old State Road Bridge,Clinton,11/12/1999,98NR01352,-73.4599,44.5235911841,"(44.52359118410, -73.45990000000)"
Palmer Brook Bridge,Clinton,11/12/1999,98NR01357,-73.6742,44.4438047853,"(44.44380478530, -73.67420000000)"
Beers Bridge,Essex,11/12/1999,98NR01347,-73.7822,44.1697728573,"(44.16977285730, -73.78220000000)"
Ranney Bridge,Essex,11/12/1999,98NR01346,-73.7837,44.1824026554,"(44.18240265540, -73.78370000000)"
Notman Bridge,Essex,11/12/1999,98NR01356,-73.7844,44.1913376983,"(44.19133769830, -73.78440000000)"
Walton Bridge,Essex,11/12/1999,98NR01355,-73.7978,44.2447374634,"(44.24473746340, -73.79780000000)"
Wilmington Bridge,Essex,11/12/1999,98NR01350,-73.8175,44.3890631283,"(44.38906312830, -73.81750000000)"
"Grove Street, House at No. 48",Livingston,01/07/1999,98NR01317,-77.8816,42.7280830276,"(42.72808302760, -77.88160000000)"
"Grove Street, House at No. 13",Livingston,01/07/1999,98NR01316,-77.8771,42.727971528,"(42.72797152800, -77.87710000000)"
"Murray Street, House at No. 30",Livingston,01/07/1999,98NR01318,-77.8754,42.7230886917,"(42.72308869170, -77.87540000000)"
"State Street, House at No. 8",Livingston,01/07/1999,98NR01321,-77.8731,42.7260440438,"(42.72604404380, -77.87310000000)"
